# file...... 1Meter_684_C_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_C_24:measured_power,house_meter_684_C_25:measured_power,house_meter_684_C_26:measured_power,house_meter_684_C_27:measured_power,house_meter_684_C_28:measured_power,house_meter_684_C_29:measured_power,house_meter_684_C_30:measured_power,house_meter_684_C_31:measured_power,house_meter_684_C_32:measured_power,house_meter_684_C_33:measured_power,house_meter_684_C_34:measured_power,house_meter_684_C_35:measured_power,house_meter_684_C_36:measured_power,house_meter_684_C_37:measured_power,house_meter_684_C_38:measured_power,house_meter_684_C_39:measured_power,house_meter_684_C_40:measured_power
2021-01-06 05:30:00 UTC,+560.065+0.00267892d,+600.075+0.00287344d,+3282.25+0.0157346d,+3081.98+0.0147733d,+480.048+0.00229858d,+720.108+0.00344839d,+560.065+0.00268181d,+800.134+0.00383174d,+1040.23+0.00498201d,+600.075+0.00287067d,+400.033+0.00191354d,+1120.26+0.00536032d,+1040.23+0.00497719d,+640.085+0.00306212d,+680.096+0.00325359d,+520.056+0.00248779d,+440.04+0.00210495d
2021-01-06 05:45:00 UTC,+440.04+0.00211295d,+760.121+0.00365439d,+4043.43+0.0194662d,+3402.43+0.0163758d,+400.034+0.00192293d,+720.109+0.00346197d,+560.066+0.00269237d,+760.121+0.00365439d,+960.193+0.00461666d,+520.057+0.00249708d,+320.021+0.00153647d,+1080.24+0.00518806d,+920.177+0.00441902d,+760.121+0.00365012d,+680.097+0.00326574d,+720.108+0.00345792d,+440.04+0.0021128d
2021-01-06 06:00:00 UTC,+1000.21+0.00480983d,+240.012+0.00115491d,+3001.89+0.0144615d,+3522.6+0.0169738d,+480.048+0.00231017d,+600.075+0.00288793d,+1040.23+0.00500714d,+480.048+0.00231017d,+720.109+0.00346578d,+440.041+0.00211604d,+320.021+0.00153882d,+800.134+0.00384823d,+1080.24+0.00519602d,+1320.37+0.00635165d,+1160.28+0.00558119d,+480.048+0.00230847d,+600.075+0.00288581d
2021-01-06 06:15:00 UTC,+280.016+0.00134695d,+880.163+0.00423982d,+3282.26+0.0158269d,+3081.99+0.01486d,+520.057+0.00250478d,+360.027+0.0017339d,+1080.24+0.00520407d,+1080.24+0.00520407d,+480.048+0.00231205d,+360.027+0.00173247d,+600.075+0.00288788d,+760.121+0.00365835d,+1040.23+0.00500705d,+960.193+0.00462166d,+880.162+0.00423631d,+1120.26+0.00539248d,+680.097+0.0032731d
2021-01-06 06:30:00 UTC,+600.076+0.00289922d,+480.049+0.00232153d,+3722.92+0.018029d,+3482.56+0.0168632d,+400.034+0.00193451d,+280.017+0.00135405d,+840.149+0.00406362d,+960.194+0.00464449d,+480.049+0.00232153d,+320.022+0.00154656d,+720.109+0.00348065d,+800.135+0.00386759d,+1000.21+0.0048351d,+1040.23+0.00502863d,+1160.28+0.00560929d,+1640.57+0.00793279d,+680.097+0.0032872d
2021-01-06 06:45:00 UTC,+720.11+0.00350336d,+360.028+0.00175401d,+3562.7+0.0173807d,+3482.58+0.0169892d,+720.11+0.00350883d,+600.076+0.0029238d,+840.15+0.00409395d,+1480.47+0.00721609d,+1560.52+0.00760654d,+520.057+0.00253161d,+640.087+0.00311606d,+960.196+0.00467505d,+1880.75+0.00916067d,+1680.6+0.00818509d,+1080.25+0.00525983d,+720.11+0.00350575d,+560.067+0.00272642d
2021-01-06 07:00:00 UTC,+360.027+0.00175073d,+1040.23+0.00506799d,+3162.12+0.0154197d,+3122.07+0.0152242d,+840.15+0.00409286d,+1320.37+0.0064336d,+1000.21+0.00487294d,+1480.47+0.00721416d,+1320.37+0.0064336d,+1560.52+0.00759929d,+520.057+0.00253142d,+920.18+0.00447981d,+1560.52+0.00759929d,+1680.6+0.00818448d,+840.15+0.00409005d,+920.18+0.00447981d,+1720.63+0.00837956d
2021-01-06 07:15:00 UTC,+960.198+0.00472377d,+360.028+0.00177338d,+3202.2+0.0157922d,+3522.67+0.0173751d,+440.042+0.00216757d,+840.151+0.00413916d,+1320.37+0.0065064d,+1720.64+0.00848023d,+1160.29+0.00571716d,+1120.27+0.0055172d,+1560.52+0.00768685d,+1920.79+0.00946294d,+1040.23+0.00512285d,+1160.29+0.00571439d,+840.151+0.00413715d,+1680.61+0.00827879d,+760.124+0.00374295d
2021-01-06 07:30:00 UTC,+400.034+0.00197149d,+640.088+0.00315888d,+3803.11+0.0187942d,+3362.43+0.0166133d,+360.028+0.00177655d,+760.124+0.00375146d,+920.182+0.0045417d,+1240.33+0.00612269d,+1040.23+0.0051345d,+960.198+0.00473629d,+720.111+0.00355167d,+1480.47+0.00730424d,+1120.27+0.00552625d,+1320.37+0.00651392d,+1040.23+0.00513125d,+1040.23+0.00513125d,+1200.31+0.00592128d
2021-01-06 07:45:00 UTC,+520.059+0.0026042d,+640.089+0.00320894d,+3202.24+0.0160718d,+3282.36+0.0164744d,+320.022+0.00160413d,+480.05+0.00240645d,+1000.22+0.00501516d,+800.14+0.0040116d,+880.169+0.004413d,+680.101+0.00340811d,+840.154+0.00421046d,+1320.38+0.00661852d,+1240.34+0.00621707d,+1360.4+0.00681926d,+840.154+0.00421046d,+520.059+0.00260592d,+1600.56+0.00802392d
