# file...... 1Meter_652_A_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_20:measured_power.real,house_meter_652_A_21:measured_power.real,house_meter_652_A_22:measured_power.real,house_meter_652_A_23:measured_power.real,house_meter_652_A_24:measured_power.real,house_meter_652_A_25:measured_power.real,house_meter_652_A_26:measured_power.real,house_meter_652_A_27:measured_power.real,house_meter_652_A_28:measured_power.real,house_meter_652_A_29:measured_power.real,house_meter_652_A_30:measured_power.real,house_meter_652_A_31:measured_power.real,house_meter_652_A_32:measured_power.real,house_meter_652_A_33:measured_power.real,house_meter_652_A_34:measured_power.real,house_meter_652_A_35:measured_power.real,house_meter_652_A_36:measured_power.real,house_meter_652_A_37:measured_power.real,house_meter_652_A_38:measured_power.real,house_meter_652_A_39:measured_power.real,house_meter_652_A_40:measured_power.real
2021-01-06 05:00:00 UTC,1.7206e+03,4.8005e+02,2.6014e+03,2.2010e+03,3.2422e+03,3.9632e+03,7.6012e+02,3.1621e+03,6.4085e+03,6.6892e+03,2.9618e+03,1.2754e+04,7.2011e+02,2.8016e+03,1.3478e+04,1.8407e+03,6.6491e+03,2.8002e+02,2.8016e+03,2.6014e+03,3.3223e+03
2021-01-06 05:15:00 UTC,1.8007e+03,4.4004e+02,1.9208e+03,2.8817e+03,3.1620e+03,1.1603e+03,7.6012e+02,5.1655e+03,6.1277e+03,6.2881e+03,2.9217e+03,6.0475e+03,1.4804e+03,2.6815e+03,5.7668e+03,2.2811e+03,2.0008e+03,2.4001e+02,2.7616e+03,3.6003e+02,4.2437e+03
2021-01-06 05:30:00 UTC,1.8807e+03,4.0003e+02,2.0008e+03,2.3611e+03,2.0008e+03,3.4825e+03,8.0013e+02,6.8095e+03,8.1737e+03,7.5718e+03,2.0409e+03,2.8016e+03,1.1603e+03,3.4825e+03,2.2811e+03,7.3711e+03,8.0013e+02,3.2002e+02,2.6014e+03,3.4825e+03,1.2803e+03
2021-01-06 05:45:00 UTC,1.8007e+03,1.5605e+03,1.8807e+03,3.4424e+03,1.9208e+03,1.1603e+03,6.0074e+03,3.2422e+03,7.4113e+03,8.2139e+03,1.6174e+04,2.7215e+03,1.6406e+03,6.6891e+03,7.2011e+02,2.6014e+03,7.6012e+02,3.6003e+02,2.6815e+03,3.6003e+02,2.0809e+03
2021-01-06 06:00:00 UTC,1.7206e+03,6.0007e+02,1.7606e+03,2.8817e+03,1.8807e+03,3.6027e+03,3.7228e+03,3.1620e+03,5.2857e+03,7.5718e+03,5.5263e+03,2.6014e+03,1.4161e+04,1.3204e+03,6.4008e+02,2.5213e+03,3.6427e+03,2.2010e+03,2.6014e+03,2.6815e+03,2.0408e+03
2021-01-06 06:15:00 UTC,1.7206e+03,3.6003e+02,2.4813e+03,2.2811e+03,1.8007e+03,1.2403e+03,7.6012e+02,5.4862e+03,5.7267e+03,7.8125e+03,2.9217e+03,1.0945e+04,1.3960e+04,2.7215e+03,9.1371e+03,2.0408e+03,3.7721e+03,2.5613e+03,4.0003e+02,3.2002e+02,2.3611e+03
2021-01-06 06:30:00 UTC,1.7206e+03,4.0003e+02,2.4412e+03,2.2811e+03,1.9208e+03,4.0834e+03,8.4014e+02,5.3258e+03,6.2881e+03,7.0903e+03,2.9217e+03,8.1336e+03,1.3960e+04,2.7616e+03,1.3397e+04,7.8125e+03,7.9533e+02,2.4412e+03,3.7228e+03,9.2017e+02,5.2456e+03
2021-01-06 06:45:00 UTC,2.9217e+03,3.6003e+02,2.0008e+03,2.8416e+03,2.0008e+03,2.0809e+03,8.4014e+02,5.0051e+03,1.1306e+04,7.6920e+03,1.6405e+03,3.4825e+03,1.4000e+04,7.9328e+03,5.6064e+03,2.6815e+03,7.2010e+02,3.3222e+03,2.6815e+03,2.0809e+03,3.4825e+03
2021-01-06 07:00:00 UTC,2.0408e+03,4.4004e+02,1.8007e+03,2.2811e+03,1.8807e+03,2.8016e+03,9.4985e+03,4.2837e+03,6.0475e+03,6.7293e+03,1.2472e+04,3.6828e+03,1.3477e+04,4.0834e+03,6.8009e+02,2.5613e+03,6.8009e+02,2.4812e+03,2.6815e+03,3.2002e+02,2.3211e+03
2021-01-06 07:15:00 UTC,1.9207e+03,4.0003e+02,2.2410e+03,2.2410e+03,2.9217e+03,3.5626e+03,8.8016e+02,4.4440e+03,6.0875e+03,6.7292e+03,8.4143e+03,2.6815e+03,1.3678e+04,1.2803e+03,7.2010e+02,2.6414e+03,6.8093e+03,2.5213e+03,2.6014e+03,2.6014e+03,2.2810e+03
