# file...... 1Meter_652_A_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_24:measured_power,house_meter_652_A_25:measured_power,house_meter_652_A_26:measured_power,house_meter_652_A_27:measured_power,house_meter_652_A_28:measured_power,house_meter_652_A_29:measured_power,house_meter_652_A_30:measured_power,house_meter_652_A_31:measured_power,house_meter_652_A_32:measured_power,house_meter_652_A_33:measured_power,house_meter_652_A_34:measured_power,house_meter_652_A_35:measured_power,house_meter_652_A_36:measured_power,house_meter_652_A_37:measured_power,house_meter_652_A_38:measured_power,house_meter_652_A_39:measured_power,house_meter_652_A_40:measured_power
2021-01-06 05:30:00 UTC,+2000.82+0.00936943d,+3482.48+0.0163796d,+800.131+0.00375922d,+6809.51+0.0320719d,+8173.71+0.0385187d,+7571.77+0.0356731d,+2040.85+0.00959334d,+2801.61+0.0131735d,+1160.28+0.00545208d,+3482.48+0.0163452d,+2281.06+0.0107011d,+7371.13+0.034652d,+800.131+0.00375135d,+320.021+0.0015001d,+2601.38+0.0122054d,+3482.48+0.0163452d,+1280.33+0.00600392d
2021-01-06 05:45:00 UTC,+1920.75+0.00899475d,+1160.28+0.00546415d,+6007.42+0.0283475d,+3242.16+0.0152815d,+7411.3+0.0349923d,+8213.88+0.0387945d,+16174+0.0766424d,+2721.52+0.0128248d,+1640.55+0.00772746d,+6689.15+0.0313937d,+720.106+0.00337139d,+2601.38+0.0121885d,+760.118+0.00355878d,+360.026+0.00168532d,+2681.47+0.0125641d,+360.026+0.00168532d,+2080.88+0.00974769d
2021-01-06 06:00:00 UTC,+1880.72+0.00878388d,+3602.66+0.0169365d,+3722.84+0.0175023d,+3162.05+0.0148624d,+5285.73+0.0248659d,+7571.76+0.0356536d,+5526.26+0.026d,+2601.39+0.0122244d,+14161.3+0.0668633d,+1320.35+0.00616894d,+640.083+0.00298976d,+2521.29+0.0117857d,+3642.7+0.0170355d,+2200.99+0.0102871d,+2601.38+0.0121605d,+2681.46+0.0125352d,+2040.85+0.00953802d
2021-01-06 06:15:00 UTC,+1800.66+0.00840613d,+1240.31+0.00582829d,+760.118+0.00357112d,+5486.17+0.0258247d,+5726.73+0.0269597d,+7812.53+0.0368105d,+2921.75+0.0137389d,+10944.6+0.0516347d,+13960.1+0.0659433d,+2721.51+0.012735d,+9137.06+0.0428683d,+2040.85+0.00954729d,+3772.1+0.0176587d,+2561.34+0.0119847d,+400.033+0.00187014d,+320.021+0.00149604d,+2361.14+0.0110471d
2021-01-06 06:30:00 UTC,+1920.75+0.00897819d,+4083.42+0.0192275d,+840.145+0.00395073d,+5325.82+0.0250904d,+6288.12+0.0296356d,+7090.32+0.0334274d,+2921.75+0.013751d,+8133.59+0.0383623d,+13960.1+0.066002d,+2761.56+0.012968d,+13396.9+0.063186d,+7812.51+0.0367629d,+795.329+0.0037318d,+2441.22+0.0114622d,+3722.84+0.017489d,+920.173+0.0043178d,+5245.63+0.0246581d
2021-01-06 06:45:00 UTC,+2000.81+0.00927684d,+2080.88+0.0097059d,+840.143+0.00391673d,+5005.1+0.0233732d,+11306.1+0.052934d,+7692.05+0.0359603d,+1640.55+0.00765068d,+3482.47+0.0162526d,+14000+0.0656193d,+7932.77+0.0369678d,+5606.37+0.0261017d,+2681.46+0.0124693d,+720.105+0.00334597d,+3322.24+0.0154531d,+2681.46+0.0124693d,+2080.88+0.00967414d,+3482.46+0.0161994d
2021-01-06 07:00:00 UTC,+1880.72+0.00873058d,+2801.6+0.0131245d,+9498.46+0.0446189d,+4283.75+0.0200799d,+6047.47+0.0283678d,+6729.26+0.0315747d,+12471.9+0.0586581d,+3682.77+0.0172586d,+13477.2+0.0634128d,+4083.38+0.0189853d,+680.094+0.00315768d,+2561.33+0.0119013d,+680.094+0.00315768d,+2481.25+0.0115288d,+2681.46+0.0124601d,+320.021+0.00148564d,+2321.09+0.010784d
2021-01-06 07:15:00 UTC,+2921.71+0.0134648d,+3562.56+0.0165206d,+880.156+0.0040771d,+4443.99+0.0206153d,+6087.49+0.0282582d,+6729.16+0.031245d,+8414.33+0.0390963d,+2681.45+0.0124302d,+13678+0.0636893d,+1280.33+0.0059044d,+720.104+0.0033201d,+2641.4+0.0121878d,+6809.34+0.0314721d,+2521.28+0.011633d,+2601.36+0.0120029d,+2601.36+0.0120029d,+2281.05+0.0105236d
2021-01-06 07:30:00 UTC,+1840.68+0.00845977d,+1360.37+0.00627797d,+880.156+0.00406104d,+5566.24+0.0257312d,+6849.45+0.0316795d,+8614.96+0.0398736d,+2841.62+0.0131216d,+8334+0.0385688d,+2200.97+0.0101607d,+2721.49+0.0125293d,+720.104+0.00331259d,+2841.62+0.013083d,+797.728+0.00366978d,+2401.16+0.0110531d,+2721.49+0.0125293d,+400.032+0.00183997d,+8012.9+0.0369688d
2021-01-06 07:45:00 UTC,+1880.7+0.00858508d,+4443.95+0.0204177d,+2521.27+0.011575d,+7290.65+0.0335351d,+7250.53+0.03335d,+9297.33+0.0427998d,+2801.57+0.0128633d,+9096.59+0.0418723d,+760.115+0.0034872d,+4484.03+0.0206189d,+8775.45+0.0404218d,+9056.46+0.0417209d,+667.289+0.00306371d,+1000.2+0.00459281d,+2801.57+0.0128738d,+3562.54+0.0163756d,+17461.4+0.0807139d
2021-01-06 08:00:00 UTC,+2080.86+0.00952462d,+2601.35+0.0119411d,+680.092+0.00311945d,+4964.93+0.0228123d,+7049.96+0.0324194d,+7411+0.0340846d,+1840.68+0.00844674d,+2881.66+0.0132293d,+760.115+0.00348661d,+5686.52+0.026321d,+13677.8+0.0635154d,+3802.91+0.017589d,+720.104+0.00332645d,+2481.24+0.01147d,+11145.1+0.051701d,+15569.1+0.0723533d,+13235.4+0.06145d
2021-01-06 08:15:00 UTC,+1800.65+0.00833641d,+3682.75+0.0171662d,+9458.21+0.0441909d,+4524.16+0.0210954d,+6047.43+0.0282157d,+8293.99+0.038733d,+9136.99+0.0426845d,+2721.5+0.0126806d,+1720.6+0.00801375d,+2681.46+0.0125411d,+8173.64+0.0383136d,+2921.74+0.0136662d,+3202.09+0.0149792d,+1480.45+0.00692059d,+16455.5+0.0773971d,+20244.1+0.0953655d,+10301.7+0.0483309d
2021-01-06 08:30:00 UTC,+1840.68+0.00854375d,+3602.64+0.016843d,+880.158+0.00411033d,+5005.1+0.0234131d,+5726.68+0.0267964d,+8013.1+0.0375302d,+9177.19+0.0430028d,+2761.55+0.0129063d,+12793.5+0.0600369d,+1080.24+0.00504452d,+760.118+0.00354916d,+2801.6+0.0130921d,+4965.02+0.0232225d,+1280.33+0.00597942d,+16616.5+0.0780911d,+17865.4+0.0840034d,+1840.69+0.00859836d
2021-01-06 08:45:00 UTC,+1840.69+0.00860086d,+3362.32+0.015824d,+760.118+0.00357351d,+7371.16+0.0347478d,+11145.5+0.0526222d,+6608.97+0.0311451d,+0+0d,+7611.9+0.0358863d,+13879.7+0.0656051d,+0+0d,+640.084+0.00300736d,+7050.2+0.0332118d,+5125.39+0.0241254d,+2241.03+0.0105361d,+15650.4+0.0739875d,+13075.2+0.0617471d,+3963.22+0.0186461d
2021-01-06 09:00:00 UTC,+1920.75+0.00899612d,+1680.58+0.00792225d,+680.095+0.00320465d,+3162.05+0.014915d,+9860.03+0.0466371d,+9297.81+0.0439676d,+3482.49+0.0164286d,+11226+0.0531279d,+13759.1+0.0651843d,+12833.9+0.0605964d,+640.084+0.00300711d,+3362.32+0.0158137d,+3602.66+0.0169458d,+720.106+0.00338316d,+8615.24+0.040607d,+5526.26+0.0260144d,+2120.92+0.0099701d
2021-01-06 09:15:00 UTC,+2000.82+0.0094094d,+4524.22+0.021422d,+5125.42+0.0242747d,+5005.17+0.023704d,+6970.03+0.0330362d,+9016.8+0.0427736d,+3923.17+0.0185714d,+2801.62+0.0132561d,+13598.3+0.0646299d,+7331.06+0.0346366d,+8213.89+0.0388218d,+5847.03+0.0276082d,+3883.1+0.0183202d,+1520.47+0.00716652d,+4083.43+0.0192669d,+920.174+0.00433603d,+1560.5+0.0073553d
2021-01-06 09:30:00 UTC,+1840.69+0.00866119d,+2000.83+0.00947844d,+10342.1+0.049163d,+4844.85+0.0229783d,+7010.16+0.0332778d,+5766.87+0.0273617d,+7973.15+0.0378643d,+3001.86+0.0142265d,+10663.6+0.0506976d,+3242.17+0.0153359d,+17946.8+0.08541d,+5285.76+0.0250235d,+10864.4+0.0515524d,+1800.67+0.00851236d,+320.021+0.00151193d,+600.074+0.00283536d,+840.145+0.00397008d
2021-01-06 09:45:00 UTC,+1800.67+0.00848688d,+3682.8+0.0174265d,+2641.44+0.0124935d,+3041.91+0.0143901d,+6849.68+0.0324542d,+6528.8+0.0309297d,+10382.3+0.0492638d,+3482.5+0.0164773d,+1320.36+0.00624167d,+2000.82+0.00944777d,+15852+0.0752823d,+5566.38+0.0263228d,+3923.17+0.0185396d,+520.056+0.00245418d,+280.016+0.00132128d,+560.064+0.00264302d,+1720.61+0.00812368d
2021-01-06 10:00:00 UTC,+1840.7+0.00868307d,+3242.17+0.0153374d,+2681.48+0.0126821d,+6889.8+0.0326419d,+8374.48+0.0397004d,+4844.84+0.0229341d,+3081.96+0.0145785d,+5245.67+0.0248357d,+720.107+0.00340299d,+6167.85+0.0292189d,+8896.35+0.0421922d,+11226.1+0.0532927d,+5292.18+0.0250615d,+2040.86+0.00965168d,+320.021+0.00151238d,+1200.3+0.00567451d,+1000.21+0.00472818d
