# file...... Meter_684_C_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_C:measured_power,xfmr_meter_684_C_1:measured_power,xfmr_meter_684_C_2:measured_power,xfmr_meter_684_C_3:measured_power,xfmr_meter_684_C_4:measured_power,xfmr_meter_684_C_5:measured_power,house_meter_684_C_1:measured_power,house_meter_684_C_2:measured_power,house_meter_684_C_3:measured_power,house_meter_684_C_4:measured_power,house_meter_684_C_5:measured_power,house_meter_684_C_6:measured_power,house_meter_684_C_7:measured_power,house_meter_684_C_8:measured_power,house_meter_684_C_9:measured_power,house_meter_684_C_10:measured_power,house_meter_684_C_11:measured_power,house_meter_684_C_12:measured_power,house_meter_684_C_13:measured_power,house_meter_684_C_14:measured_power,house_meter_684_C_15:measured_power,house_meter_684_C_16:measured_power,house_meter_684_C_17:measured_power,house_meter_684_C_18:measured_power,house_meter_684_C_19:measured_power,house_meter_684_C_20:measured_power,house_meter_684_C_21:measured_power,house_meter_684_C_22:measured_power,house_meter_684_C_23:measured_power
2021-01-06 05:00:00 UTC,+48854.9+113.128j,+16002+50.5328j,+10257.9+21.0039j,+4403.04+3.76907j,+12506.9+31.3818j,+5684.81+6.1795j,+3602.71+0.0172705d,+3642.77+0.0174628d,+2801.64+0.0134259d,+2080.9+0.009969d,+640.085+0.00306462d,+520.056+0.00248982d,+720.108+0.00344787d,+1960.8+0.00939316d,+560.065+0.00267851d,+680.096+0.00325272d,+400.033+0.00191303d,+1240.32+0.0059335d,+680.096+0.00325272d,+3362+0.0136394d,+2120.94+0.01015d,+1200.3+0.00574195d,+320.021+0.00152867d,+320.021+0.00152867d,+400.033+0.00191093d,+560.065+0.00267556d,+960.192+0.00458782d,+600.075+0.00286675d,+960.192+0.00458782d
2021-01-06 05:15:00 UTC,+53395.3+136.862j,+16442.6+52.6376j,+15761.7+49.4029j,+4964.23+4.93604j,+10621.7+23.5507j,+5604.71+6.01989j,+2040.87+0.00977539d,+3562.65+0.0170753d,+2881.73+0.0138078d,+2281.09+0.0109271d,+440.04+0.0021063d,+560.065+0.00268095d,+2481.28+0.0118871d,+2160.97+0.0103512d,+520.056+0.00248907d,+3282.25+0.0157275d,+960.192+0.00459648d,+1000.21+0.00478812d,+480.048+0.00229755d,+4203.29+0.017979d,+3202.14+0.0153431d,+2080.9+0.00996604d,+320.021+0.00152843d,+520.056+0.00248402d,+280.016+0.00133735d,+320.021+0.00152843d,+1680.59+0.00803112d,+720.108+0.00343984d,+320.021+0.00152843d
2021-01-06 05:30:00 UTC,+62907.6+222.128j,+26682.4+142.854j,+15356.4+45.6651j,+4843.6+4.53337j,+10580.2+22.8514j,+5444.51+5.71411j,+5726.88+0.0275659d,+6488.83+0.0312435d,+2921.79+0.0140473d,+2040.87+0.00980841d,+400.033+0.00192124d,+400.033+0.00192124d,+2241.05+0.0107714d,+6368.51+0.0306626d,+1280.34+0.00613816d,+2361.16+0.0113249d,+1080.24+0.00517842d,+2441.25+0.0117094d,+400.033+0.00191712d,+3161.75+0.0127208d,+1960.8+0.00940306d,+2641.46+0.0126708d,+480.048+0.0022961d,+400.033+0.00191332d,+600.075+0.00287034d,+1040.23+0.00497663d,+920.176+0.00440207d,+280.016+0.00133923d,+560.065+0.00267892d
2021-01-06 05:45:00 UTC,+65380.6+219.015j,+22765.4+102.76j,+19739.5+75.3721j,+5805.08+6.49413j,+11625.6+28.153j,+5444.51+5.72627j,+2040.87+0.00983787d,+3722.91+0.0179587d,+3001.89+0.0144762d,+5726.9+0.0276489d,+640.086+0.00308366d,+560.066+0.00269807d,+2361.17+0.0113834d,+4644.53+0.0224131d,+2321.13+0.0111837d,+2641.46+0.0127288d,+2040.87+0.0098322d,+2281.09+0.0109906d,+600.076+0.0028892d,+4083.11+0.0175094d,+3402.43+0.0164011d,+2321.13+0.0111837d,+920.177+0.00441932d,+600.075+0.00288158d,+640.086+0.00307376d,+400.033+0.00192081d,+1000.21+0.00480385d,+1000.21+0.00480385d,+800.134+0.00384259d
2021-01-06 06:00:00 UTC,+75085.2+328.49j,+28344.5+164.321j,+25389.9+129.397j,+5044.44+5.14952j,+10099.6+21.3599j,+6206.03+7.51877j,+2120.95+0.0102494d,+2841.7+0.0137366d,+5285.89+0.025578d,+2281.1+0.011024d,+2281.1+0.011024d,+720.109+0.00347784d,+2361.17+0.0114114d,+10342.6+0.0501541d,+2841.7+0.0137288d,+2201.02+0.0106307d,+2641.47+0.0127604d,+2641.47+0.0127604d,+360.027+0.00173754d,+3362.02+0.0137653d,+8495.22+0.0411401d,+2761.6+0.0133414d,+280.016+0.00134614d,+720.109+0.00346247d,+240.012+0.00115381d,+360.027+0.00173084d,+1680.59+0.00808398d,+440.041+0.00211558d,+320.021+0.00153849d
2021-01-06 06:15:00 UTC,+78827.6+392.365j,+21433.1+90.1854j,+35603.1+265.398j,+4603.4+4.17262j,+10781+23.8138j,+6406.18+7.91641j,+2080.91+0.0100493d,+3082+0.0148902d,+5566.53+0.0269219d,+2841.7+0.0137278d,+2080.91+0.0100493d,+480.048+0.00231673d,+2361.17+0.0114041d,+2881.75+0.0139215d,+2561.38+0.0124059d,+2841.7+0.0137652d,+2321.14+0.0112411d,+2201.02+0.0106589d,+360.027+0.00174214d,+11426.5+0.053267d,+11668.8+0.0567356d,+2040.88+0.00988266d,+360.027+0.00173188d,+400.034+0.00192436d,+360.027+0.00173188d,+1040.23+0.00500534d,+1120.26+0.00539064d,+480.048+0.00230934d,+560.066+0.00269437d
2021-01-06 06:30:00 UTC,+87676.2+463.628j,+35551.2+260.86j,+28728.4+161.281j,+5364.47+5.62264j,+10662.7+24.207j,+7368.42+10.5983j,+2160.99+0.0105081d,+3602.75+0.0175297d,+3803.07+0.0185059d,+2721.57+0.0132372d,+4123.6+0.0200684d,+440.041+0.00213819d,+5045.4+0.0245641d,+13478.7+0.0658587d,+4283.89+0.0208223d,+2160.99+0.0104943d,+4003.39+0.0194567d,+2921.81+0.0141936d,+960.195+0.00466057d,+3281.92+0.0134566d,+5005.31+0.0243363d,+6007.65+0.0292223d,+840.149+0.00405953d,+200.008+0.000966151d,+840.149+0.00405953d,+280.016+0.00135269d,+1040.23+0.00502672d,+760.122+0.00367272d,+800.135+0.00386612d
2021-01-06 06:45:00 UTC,+139897+1483.66j,+40226.2+323.522j,+74505.6+1107j,+4483.51+4.10147j,+12628.4+32.74j,+8050.37+12.8425j,+3122.08+0.0153098d,+6208.24+0.0304837d,+3642.84+0.0178674d,+2881.77+0.01413d,+6850.04+0.0336444d,+600.077+0.00293944d,+6569.23+0.0322613d,+10142+0.0498836d,+6288.52+0.031088d,+5486.48+0.0271137d,+6689.64+0.0330767d,+8334.97+0.0412413d,+4885.14+0.0241356d,+17020.9+0.0821867d,+18393.3+0.0914075d,+6689.64+0.0330767d,+440.041+0.00214056d,+280.017+0.00136204d,+360.027+0.00175128d,+440.041+0.00214056d,+1560.52+0.00759467d,+280.017+0.00136204d,+400.034+0.00194591d
2021-01-06 07:00:00 UTC,+122679+992.622j,+36663.9+269.799j,+58045.2+661.873j,+4923.86+4.79439j,+13308.8+35.2595j,+9734.64+18.5605j,+5125.61+0.0251286d,+5245.88+0.0257196d,+2961.87+0.0145073d,+2241.07+0.0109735d,+4524.37+0.0221753d,+480.049+0.00234881d,+5646.81+0.02769d,+10262.5+0.0504236d,+7371.66+0.0363265d,+7331.54+0.0361281d,+12352.8+0.0610037d,+2761.63+0.013582d,+3522.66+0.0173304d,+7732.06+0.0358159d,+7050.67+0.0347398d,+9499.39+0.0468545d,+400.034+0.00194531d,+320.022+0.00155617d,+320.022+0.00155617d,+880.164+0.00428098d,+1040.23+0.00505985d,+960.195+0.0046704d,+640.087+0.00311297d
2021-01-06 07:15:00 UTC,+153448+1822.21j,+42673.5+372.393j,+83202.4+1388.01j,+4883.8+4.75524j,+12588+32.679j,+10095.7+20.1197j,+2321.16+0.0115105d,+3562.74+0.0176769d,+4604.58+0.0228564d,+5847.4+0.0290412d,+5286.04+0.0262468d,+400.035+0.0019821d,+7893.49+0.0392379d,+12514+0.0623311d,+7171.22+0.0359258d,+9901.42+0.0496627d,+7973.88+0.039961d,+9258.73+0.0464261d,+1080.25+0.00539741d,+15168.6+0.0734939d,+18757.2+0.0944479d,+12997+0.0652777d,+560.067+0.00275483d,+320.022+0.00157394d,+360.028+0.00177073d,+360.028+0.00177073d,+1000.21+0.00492072d,+480.049+0.00236116d,+840.151+0.00413298d
2021-01-06 07:30:00 UTC,+109863+812.325j,+29386+175.712j,+53830.4+581.9j,+5605.15+6.32678j,+12147.2+30.9462j,+8892+15.54j,+2441.29+0.0120979d,+3122.1+0.0154763d,+4885.16+0.0242343d,+2080.93+0.0103106d,+7732.94+0.0384089d,+520.058+0.00257504d,+5927.6+0.0294189d,+2561.42+0.0126939d,+7813.27+0.0389974d,+7813.27+0.0389974d,+12393.5+0.0619819d,+3803.14+0.018949d,+880.168+0.00437985d,+4764.46+0.0214765d,+7371.81+0.036787d,+8616.15+0.0430198d,+680.099+0.00335213d,+880.166+0.00433861d,+800.137+0.00394399d,+520.058+0.00256313d,+1520.5+0.00749706d,+480.049+0.00236591d,+320.022+0.00157711d
2021-01-06 07:45:00 UTC,+151237+2003.85j,+35551.2+266.98j,+91604.1+1688.48j,+5044.21+5.19737j,+10621.6+24.2119j,+8411.2+14.248j,+2361.22+0.0119053d,+2961.93+0.014938d,+2961.93+0.014938d,+2080.95+0.0104909d,+4885.25+0.0246588d,+600.079+0.00302325d,+10866+0.0549924d,+8656.5+0.0437673d,+9178.77+0.0469509d,+10986.9+0.0562454d,+7131.32+0.0364445d,+12515+0.0641117d,+6449.26+0.0329488d,+18191.8+0.0905991d,+15252+0.078229d,+10826.1+0.0554183d,+280.017+0.00140203d,+320.022+0.00160237d,+280.017+0.00140203d,+880.169+0.00440815d,+1160.29+0.00581181d,+920.185+0.00460864d,+680.101+0.00340585d
2021-01-06 08:00:00 UTC,+126293+1289.72j,+36441+279.482j,+68336.4+970.491j,+4162.89+3.54384j,+10101.2+22.5603j,+7248.6+10.6812j,+2120.99+0.0106792d,+4043.59+0.0203767d,+2881.82+0.0145148d,+2241.1+0.0112845d,+6930.56+0.0349692d,+600.079+0.00301938d,+11790.6+0.0596192d,+5647+0.0284768d,+6248.63+0.0317228d,+5246.08+0.0266212d,+9459.82+0.0480936d,+4003.54+0.0203048d,+21422.2+0.109493d,+11669+0.0569906d,+5767.35+0.0292732d,+3883.33+0.0196941d,+360.028+0.00179979d,+240.013+0.00119977d,+240.013+0.00119977d,+400.035+0.00199982d,+880.169+0.00440099d,+360.028+0.00179979d,+720.113+0.00360044d
