# file...... Meter_652A_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power,xfmr_meter_652_A_1:measured_power,xfmr_meter_652_A_2:measured_power,xfmr_meter_652_A_3:measured_power,xfmr_meter_652_A_4:measured_power,xfmr_meter_652_A_5:measured_power,house_meter_652_A_1:measured_power,house_meter_652_A_2:measured_power,house_meter_652_A_3:measured_power,house_meter_652_A_4:measured_power,house_meter_652_A_5:measured_power,house_meter_652_A_6:measured_power,house_meter_652_A_7:measured_power,house_meter_652_A_8:measured_power,house_meter_652_A_9:measured_power,house_meter_652_A_10:measured_power,house_meter_652_A_11:measured_power,house_meter_652_A_12:measured_power,house_meter_652_A_13:measured_power,house_meter_652_A_14:measured_power,house_meter_652_A_15:measured_power,house_meter_652_A_16:measured_power,house_meter_652_A_17:measured_power,house_meter_652_A_18:measured_power,house_meter_652_A_19:measured_power,house_meter_652_A_20:measured_power,house_meter_652_A_21:measured_power,house_meter_652_A_22:measured_power,house_meter_652_A_23:measured_power
2021-01-06 05:00:00 UTC,+103962+589.866j,+8854.92+16.1267j,+9413.4+16.8358j,+14151.3+38.4713j,+37607+282.012j,+33934.1+234.831j,+560.064+0.00263313d,+3923.16+0.0184701d,+680.095+0.00319761d,+800.131+0.00376217d,+600.074+0.00282128d,+760.118+0.00357397d,+760.107+0.00321756d,+760.118+0.00357397d,+600.074+0.00282157d,+920.173+0.00432726d,+880.159+0.00413902d,+600.074+0.00282157d,+1840.69+0.00865942d,+1600.52+0.00752882d,+1800.66+0.00847097d,+1160.28+0.00545692d,+360.027+0.00169418d,+1760.64+0.00828979d,+1760.64+0.00828979d,+1720.61+0.00810119d,+480.047+0.00225907d,+2601.39+0.0122526d,+2200.99+0.0103651d
2021-01-06 05:15:00 UTC,+82231.6+325.97j,+7328.85+10.4625j,+10056.3+19.5609j,+14392+39.469j,+30065.1+174.508j,+20388.7+81.064j,+560.064+0.00261851d,+2521.3+0.0117975d,+600.073+0.00280562d,+760.118+0.00355413d,+840.144+0.00392844d,+600.073+0.00280562d,+680.094+0.00317986d,+760.118+0.00355413d,+760.118+0.00355592d,+600.073+0.00280703d,+680.094+0.00318145d,+800.13+0.00374316d,+3001.84+0.0140558d,+1000.2+0.00467952d,+1960.78+0.00917726d,+1240.31+0.00580346d,+640.084+0.00299663d,+1720.6+0.00805877d,+1800.66+0.00843401d,+1800.66+0.00843401d,+440.039+0.00205993d,+1920.75+0.00899694d,+2881.69+0.0135034d
2021-01-06 05:30:00 UTC,+84428.6+364.275j,+8691.97+14.5216j,+8531.04+13.7935j,+12544.2+29.9439j,+32979.8+212.088j,+21680.9+92.9241j,+1280.33+0.00598954d,+2641.42+0.0123637d,+600.073+0.00280643d,+1000.19+0.00431921d,+800.13+0.00374236d,+680.094+0.00318077d,+760.118+0.00355516d,+920.173+0.00430403d,+720.106+0.00336786d,+960.188+0.00449114d,+640.083+0.00299351d,+720.106+0.00336786d,+1720.6+0.00805037d,+640.083+0.00299351d,+1880.72+0.00880011d,+1240.31+0.00580205d,+200.008+0.00093591d,+1800.66+0.00843145d,+1880.72+0.00880662d,+1880.72+0.00880662d,+400.033+0.00187205d,+2000.82+0.00936943d,+2361.14+0.0110584d
2021-01-06 05:45:00 UTC,+97256.3+569.167j,+9173.53+16.2503j,+9975+18.8145j,+14953.9+42.3474j,+46862.3+435.826j,+16290.5+54.3831j,+600.073+0.0028056d,+2561.34+0.0119849d,+600.073+0.0028056d,+1480.45+0.00692421d,+600.073+0.0028056d,+680.094+0.00317984d,+760.106+0.00319968d,+1880.72+0.00879777d,+720.106+0.00336747d,+1520.47+0.00711257d,+1480.45+0.00692523d,+760.118+0.00355463d,+1880.72+0.00879907d,+440.039+0.00205754d,+1920.75+0.0089865d,+1240.31+0.00580137d,+280.016+0.00131042d,+2200.99+0.0103083d,+1840.69+0.00861955d,+1800.66+0.00843196d,+1560.5+0.00730662d,+1880.72+0.00880715d,+3442.42+0.0161306d
2021-01-06 06:00:00 UTC,+95924.1+537.537j,+7449.18+10.8031j,+10415.9+20.31j,+14471.9+39.665j,+45899.3+406.41j,+17686.6+58.8475j,+560.064+0.002611d,+2601.38+0.0121376d,+560.064+0.002611d,+720.094+0.00300501d,+880.157+0.0041038d,+560.064+0.002611d,+800.13+0.00373054d,+760.117+0.00354393d,+1640.55+0.0076557d,+880.157+0.00410603d,+680.094+0.00317246d,+1480.45+0.00690812d,+1720.6+0.00802954d,+1000.2+0.00466628d,+1920.75+0.0089643d,+1080.24+0.00503983d,+680.094+0.00317482d,+3081.93+0.0144012d,+1840.69+0.00859677d,+1720.6+0.00803553d,+600.073+0.00280118d,+1760.63+0.0082226d,+2881.69+0.0134644d
2021-01-06 06:15:00 UTC,+102562+643.169j,+8491.7+13.943j,+8891.86+14.9003j,+12624.4+30.24j,+49164.3+472.282j,+23388.6+110.045j,+560.064+0.00261128d,+2641.42+0.012326d,+680.094+0.00317107d,+800.13+0.00373095d,+600.073+0.00279787d,+760.117+0.00354431d,+1640.55+0.00765236d,+800.13+0.00373095d,+720.105+0.00335793d,+960.187+0.0044779d,+640.083+0.00298468d,+720.105+0.00335793d,+1920.75+0.00896105d,+1000.2+0.00466459d,+1760.63+0.00821349d,+1160.27+0.00541146d,+320.021+0.00149307d,+1840.69+0.00859314d,+1800.66+0.00840613d,+1720.6+0.00803213d,+360.026+0.00167975d,+2481.25+0.0115866d,+2281.06+0.0106509d
2021-01-06 06:30:00 UTC,+119528+815.222j,+9856.08+18.9239j,+9172.82+15.9483j,+14269.9+38.1566j,+48944.5+461.863j,+37283.5+278.087j,+760.117+0.00354848d,+3001.83+0.0140263d,+2321.1+0.0108425d,+720.105+0.00336163d,+720.105+0.00336163d,+640.083+0.00298797d,+800.118+0.00338047d,+880.158+0.00410906d,+760.117+0.00354803d,+760.117+0.00354803d,+640.083+0.0029876d,+760.117+0.00354803d,+2080.88+0.0097182d,+840.144+0.0039217d,+1760.63+0.00822149d,+1560.5+0.00728634d,+2000.82+0.00935274d,+1720.6+0.00804198d,+1760.63+0.0082292d,+1720.6+0.00804198d,+400.033+0.00186873d,+2441.21+0.0114134d,+2281.06+0.0106639d
2021-01-06 06:45:00 UTC,+106192+644.66j,+7729.83+11.5552j,+9453.33+16.7318j,+14070.4+37.4048j,+46328.2+421.075j,+28609.3+156.127j,+600.073+0.00277748d,+2721.49+0.0126074d,+640.083+0.00296272d,+680.083+0.00279939d,+640.083+0.00296272d,+760.116+0.00351848d,+800.129+0.00370375d,+880.156+0.00407433d,+760.117+0.00351959d,+760.117+0.00351959d,+680.093+0.00314895d,+680.093+0.00314895d,+1840.68+0.00852668d,+1760.63+0.00815556d,+1720.6+0.00797001d,+1240.31+0.00574415d,+440.039+0.00203898d,+1720.6+0.00797673d,+1760.63+0.00816243d,+2921.72+0.0135518d,+360.026+0.00166817d,+2000.81+0.00927684d,+2841.63+0.0131798d
2021-01-06 07:00:00 UTC,+110935+801.997j,+9778.56+19.6414j,+13708.3+35.3126j,+12182.5+27.9568j,+59423.9+668.748j,+15840.1+48.0866j,+760.117+0.00352544d,+4524.14+0.021015d,+640.083+0.00296857d,+600.073+0.00278297d,+1080.24+0.0050108d,+760.117+0.00352544d,+680.083+0.00280493d,+720.105+0.00333981d,+680.093+0.00315645d,+2361.13+0.0109659d,+2080.88+0.00966323d,+2881.68+0.0133864d,+2000.81+0.00929112d,+720.105+0.0033422d,+1880.72+0.00873301d,+1080.24+0.0050144d,+240.012+0.00111343d,+1720.6+0.00798677d,+1760.63+0.00817271d,+2040.84+0.00947453d,+440.039+0.00204154d,+1800.66+0.00835866d,+2281.05+0.0105907d
2021-01-06 07:15:00 UTC,+125655+730.759j,+17734.9+61.8216j,+25464.8+124.12j,+14190+37.5184j,+46750.1+417.053j,+21513.9+88.2255j,+600.072+0.00276465d,+5886.97+0.0271802d,+520.054+0.00239592d,+3762.85+0.0173582d,+2000.8+0.00922329d,+3442.38+0.0158779d,+840.142+0.00387107d,+640.082+0.00294903d,+1080.23+0.00498483d,+6769.23+0.0313088d,+4684.42+0.021648d,+5726.6+0.0264754d,+1960.77+0.00905134d,+760.116+0.00350716d,+1920.74+0.00886641d,+2481.24+0.0114563d,+760.116+0.00349997d,+1840.68+0.00847914d,+1840.68+0.00847914d,+1920.74+0.00884823d,+400.032+0.00184169d,+2241.01+0.0103249d,+2241.01+0.0103249d
