# file...... Meter_633_B_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_B:measured_power,xfmr_meter_633_B_1:measured_power,xfmr_meter_633_B_2:measured_power,xfmr_meter_633_B_3:measured_power,xfmr_meter_633_B_4:measured_power,xfmr_meter_633_B_5:measured_power,house_meter_633_B_1:measured_power,house_meter_633_B_2:measured_power,house_meter_633_B_3:measured_power,house_meter_633_B_4:measured_power,house_meter_633_B_5:measured_power,house_meter_633_B_6:measured_power,house_meter_633_B_7:measured_power,house_meter_633_B_8:measured_power,house_meter_633_B_9:measured_power,house_meter_633_B_10:measured_power,house_meter_633_B_11:measured_power,house_meter_633_B_12:measured_power,house_meter_633_B_13:measured_power,house_meter_633_B_14:measured_power,house_meter_633_B_15:measured_power,house_meter_633_B_16:measured_power,house_meter_633_B_17:measured_power,house_meter_633_B_18:measured_power,house_meter_633_B_19:measured_power,house_meter_633_B_20:measured_power,house_meter_633_B_21:measured_power,house_meter_633_B_22:measured_power,house_meter_633_B_23:measured_power
2021-01-06 05:00:00 UTC,+59537+279.6j,+36871.2+247.882j,+3162.21+2.14541j,+6005.74+6.84507j,+10495.4+20.0354j,+3001.88+1.88787j,+4564.18+0.0210267d,+4724.48+0.0217666d,+4363.82+0.0201021d,+4123.41+0.0189928d,+4123.41+0.0189928d,+4443.96+0.0204719d,+6688.99+0.0308419d,+3682.72+0.0169599d,+280.016+0.00127996d,+1720.59+0.00786941d,+240.011+0.00109708d,+120.003+0.000548501d,+200.008+0.000914214d,+120.003+0.000548501d,+360.026+0.00164574d,+120.003+0.000548501d,+120.003+0.000548781d,+80.0013+0.000365844d,+760.115+0.00347696d,+320.02+0.0014636d,+1280.33+0.00585775d,+1240.31+0.00567456d,+960.184+0.00439247d
2021-01-06 05:15:00 UTC,+63692.6+323.931j,+39623+287.574j,+2962.07+1.93844j,+7328.42+10.156j,+10856.6+21.5392j,+2921.79+1.79465j,+5125.29+0.0236816d,+4123.42+0.0190447d,+4564.19+0.0210843d,+4484.05+0.0207134d,+3802.91+0.0175621d,+6729.12+0.0311123d,+6889.56+0.0318561d,+3722.79+0.0171916d,+240.011+0.00109948d,+1720.59+0.00788654d,+280.016+0.00128275d,+80.0013+0.00036646d,+80.0013+0.00036646d,+160.005+0.00073295d,+280.016+0.00128275d,+120.003+0.0005497d,+120.003+0.000550132d,+360.026+0.00165063d,+1800.65+0.00826024d,+320.02+0.00146719d,+1160.27+0.00532122d,+1240.31+0.00568848d,+1120.25+0.00513761d
2021-01-06 05:30:00 UTC,+64788+346.582j,+41279.7+311.287j,+3322.37+2.34245j,+7408.61+10.3825j,+10655.9+20.7148j,+2120.72+0.857007j,+5445.97+0.0251844d,+6287.97+0.029088d,+4604.27+0.0212848d,+4564.19+0.0210992d,+5125.29+0.0236983d,+6368.17+0.0294599d,+5045.13+0.0233269d,+3642.67+0.0168329d,+240.011+0.00109998d,+1720.59+0.0078902d,+200.008+0.00091663d,+120.003+0.000549952d,+160.005+0.000733286d,+520.054+0.00238369d,+280.016+0.00128334d,+80.0013+0.000366626d,+80.0013+0.000366896d,+600.072+0.00275257d,+1920.74+0.00881521d,+280.016+0.00128429d,+1240.31+0.00569083d,+1080.23+0.00495606d,+1120.25+0.00513974d
2021-01-06 05:45:00 UTC,+63612.5+325.806j,+39823.4+289.774j,+3562.65+2.66257j,+8050.36+12.3329j,+10334.9+19.4693j,+1840.5+0.629968j,+4484.05+0.0207153d,+5125.29+0.0236838d,+5886.98+0.0272119d,+5967.17+0.0275835d,+4003.22+0.0184904d,+4684.42+0.0216427d,+6007.27+0.0277693d,+3482.44+0.0160816d,+280.016+0.00128296d,+1760.62+0.00807147d,+80.0013+0.000366517d,+120.003+0.000549788d,+240.011+0.00109965d,+640.082+0.00293311d,+320.02+0.00146628d,+120.003+0.000549788d,+120.003+0.000550233d,+600.072+0.00275195d,+2281.04+0.010468d,+240.012+0.00110054d,+1280.33+0.00587322d,+1240.31+0.00568955d,+1080.23+0.00495494d
2021-01-06 06:00:00 UTC,+62991.1+299.413j,+37801.5+261.681j,+5404.78+5.61356j,+7568.2+10.5398j,+10495.5+20.1612j,+1720.45+0.554303j,+4283.7+0.0198371d,+5445.99+0.0252313d,+5325.72+0.0246729d,+4443.98+0.0205807d,+3722.79+0.0172357d,+5005.05+0.0231843d,+5846.9+0.0270931d,+3562.56+0.0164928d,+320.021+0.0014709d,+1760.62+0.00809696d,+400.032+0.00183871d,+80.0013+0.000367672d,+760.116+0.00349431d,+720.104+0.00331032d,+640.082+0.00294237d,+720.104+0.00331032d,+600.072+0.00275948d,+640.082+0.00294352d,+1080.23+0.0049685d,+640.082+0.00294352d,+1240.31+0.00570512d,+1120.25+0.00515264d,+1040.22+0.00478437d
2021-01-06 06:15:00 UTC,+69319.8+363.207j,+41968+322.369j,+6165.71+7.10138j,+7407.86+10.0973j,+10655.9+20.7641j,+3121.48+1.82787j,+6167.68+0.0286014d,+4924.9+0.0228268d,+5726.62+0.0265514d,+4644.35+0.021524d,+4884.82+0.0226406d,+6408.3+0.0297201d,+5205.47+0.02413d,+3802.92+0.0176184d,+640.082+0.00294239d,+640.082+0.00294239d,+1200.29+0.00551884d,+120.003+0.000551527d,+800.128+0.00367834d,+760.116+0.00349434d,+640.082+0.00294239d,+1360.37+0.00625529d,+680.093+0.00312707d,+600.072+0.00275904d,+760.116+0.00349513d,+680.093+0.00312707d,+1160.27+0.00533595d,+1200.29+0.00552008d,+1200.29+0.00552008d
2021-01-06 06:30:00 UTC,+72658.1+429.988j,+46028.2+391.427j,+5083.82+4.80096j,+7287.66+9.7868j,+10495.4+20.104j,+3762.12+2.64111j,+4443.98+0.0205851d,+10381.8+0.0482055d,+5967.19+0.0276578d,+4203.56+0.0194695d,+6247.88+0.0289621d,+4443.98+0.0205851d,+6247.88+0.0289621d,+3842.98+0.0177968d,+520.054+0.00238728d,+680.092+0.00312213d,+920.169+0.00422467d,+80.0013+0.000367176d,+560.063+0.00257098d,+720.104+0.00330587d,+600.072+0.00275469d,+1000.2+0.00459225d,+680.093+0.00312337d,+520.054+0.00238823d,+840.141+0.00385866d,+560.063+0.002572d,+1240.31+0.00569748d,+1240.31+0.00569748d,+1000.2+0.00459408d
2021-01-06 06:45:00 UTC,+63174.7+279.47j,+36304.5+240.759j,+5444.35+5.49611j,+6926.97+8.86699j,+10656+20.7655j,+3842.26+2.77529j,+5325.72+0.0246558d,+4443.98+0.0205664d,+4604.27+0.0213096d,+4604.27+0.0213096d,+4243.63+0.0196376d,+4484.05+0.0207522d,+4684.42+0.0216813d,+3762.85+0.0174094d,+520.054+0.00238953d,+800.128+0.00367682d,+1240.31+0.00570058d,+280.016+0.00128648d,+600.072+0.00275728d,+680.093+0.00312507d,+560.063+0.0025734d,+760.116+0.00349289d,+640.082+0.00294196d,+520.054+0.00239017d,+640.082+0.00294196d,+520.054+0.00239017d,+1280.33+0.00588618d,+1120.25+0.00514992d,+1080.23+0.00496587d
2021-01-06 07:00:00 UTC,+72355.8+407.001j,+44644.1+366.459j,+5364.14+5.30539j,+7207.53+9.60022j,+10575.7+20.4697j,+4563.39+3.99581j,+7691.98+0.035745d,+4964.98+0.023047d,+6448.41+0.029951d,+5686.54+0.0264041d,+4163.5+0.0193204d,+7050.06+0.0327534d,+4564.21+0.0211832d,+3842.98+0.0178307d,+640.082+0.00294484d,+800.128+0.00368141d,+960.185+0.00441812d,+400.032+0.00184026d,+640.082+0.00294484d,+480.046+0.00220842d,+520.054+0.00239251d,+920.17+0.00423393d,+520.054+0.00239331d,+880.155+0.0040511d,+600.072+0.00276164d,+520.054+0.00239331d,+1200.29+0.00552529d,+1160.27+0.00534098d,+1160.27+0.00534098d
2021-01-06 07:15:00 UTC,+76491.1+478.716j,+48658.3+436.687j,+4883.4+4.39529j,+7608.49+10.7641j,+10856.7+21.6958j,+4483.1+3.79666j,+7451.29+0.0347709d,+8213.72+0.0383407d,+6809.42+0.0317674d,+4484.08+0.0208994d,+4524.16+0.0210865d,+4323.8+0.020151d,+5887.04+0.027454d,+6689.09+0.0312045d,+520.054+0.00240065d,+720.104+0.00332438d,+640.082+0.00295486d,+800.129+0.00369393d,+440.039+0.00203122d,+440.039+0.00203122d,+560.063+0.00258538d,+760.116+0.00350915d,+480.046+0.00221703d,+560.063+0.00258666d,+1160.27+0.00536001d,+560.063+0.00258666d,+1160.27+0.00536001d,+1280.33+0.00591493d,+1000.2+0.00462025d
