# file...... 1Meter_632_B_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_B_24:measured_power,house_meter_632_B_25:measured_power,house_meter_632_B_26:measured_power,house_meter_632_B_27:measured_power,house_meter_632_B_28:measured_power,house_meter_632_B_29:measured_power,house_meter_632_B_30:measured_power,house_meter_632_B_31:measured_power,house_meter_632_B_32:measured_power,house_meter_632_B_33:measured_power,house_meter_632_B_34:measured_power,house_meter_632_B_35:measured_power,house_meter_632_B_36:measured_power,house_meter_632_B_37:measured_power,house_meter_632_B_38:measured_power,house_meter_632_B_39:measured_power,house_meter_632_B_40:measured_power
2021-01-06 05:30:00 UTC,+1120.25+0.00513109d,+680.092+0.00311635d,+1800.62+0.00789598d,+1240.31+0.00568467d,+1280.33+0.00586818d,+800.128+0.00366656d,+880.155+0.00403341d,+680.082+0.00277128d,+440.039+0.00201617d,+360.026+0.00164821d,+960.184+0.0043968d,+360.026+0.00164821d,+280.016+0.00128188d,+360.026+0.00164821d,+400.032+0.00183139d,+320.02+0.00146504d,+360.026+0.00164821d
2021-01-06 05:45:00 UTC,+640.082+0.00293102d,+800.128+0.00366592d,+1640.54+0.00751892d,+1160.25+0.0049627d,+1240.31+0.00568367d,+920.169+0.00421611d,+800.128+0.00366592d,+760.115+0.00348254d,+680.092+0.00311581d,+360.026+0.00164797d,+880.154+0.00402962d,+400.032+0.00183112d,+440.039+0.00201428d,+520.054+0.00238063d,+400.032+0.00183112d,+320.02+0.00146483d,+440.039+0.00201428d
2021-01-06 06:00:00 UTC,+680.092+0.00312247d,+680.093+0.00312477d,+1720.59+0.00790878d,+1160.27+0.00533204d,+1400.39+0.00643614d,+880.142+0.00369335d,+1040.2+0.00442654d,+1240.31+0.00570004d,+440.039+0.00202162d,+160.003+0.000458971d,+720.104+0.00330572d,+320.02+0.00146886d,+600.072+0.00275457d,+480.046+0.0022035d,+560.063+0.00257087d,+240.012+0.00110159d,+560.063+0.00257087d
2021-01-06 06:15:00 UTC,+480.046+0.00220319d,+800.116+0.00332606d,+1560.46+0.00681167d,+1120.25+0.00514628d,+1240.29+0.00534232d,+800.128+0.00367521d,+800.128+0.00367521d,+1200.27+0.00515878d,+560.063+0.00257228d,+120.003+0.000550688d,+1560.49+0.00716511d,+200.008+0.000917856d,+1400.39+0.00642961d,+240.012+0.00110145d,+200.008+0.000917856d,+400.032+0.00183593d,+240.012+0.00110145d
2021-01-06 06:30:00 UTC,+600.072+0.00275081d,+720.104+0.00330367d,+1760.62+0.00808067d,+1200.27+0.00515275d,+1400.39+0.00642642d,+920.169+0.00422186d,+880.155+0.0040382d,+1280.33+0.00587516d,+600.072+0.00275286d,+200.008+0.000916511d,+1640.54+0.00752189d,+280.016+0.00128318d,+160.005+0.000733191d,+240.011+0.00109984d,+280.016+0.00128318d,+240.011+0.00109984d,+360.026+0.00164988d
2021-01-06 06:45:00 UTC,+640.082+0.0029385d,+720.104+0.00330691d,+1640.54+0.00753656d,+1160.27+0.0053292d,+1160.27+0.0053292d,+760.104+0.0031426d,+800.116+0.00332543d,+760.116+0.00349071d,+680.093+0.00312312d,+160.003+0.000458814d,+1280.33+0.0058768d,+1200.29+0.00550924d,+200.008+0.000917656d,+240.012+0.00110121d,+240.012+0.00110121d,+240.012+0.00110121d,+240.012+0.00110121d
2021-01-06 07:00:00 UTC,+600.072+0.00275677d,+800.116+0.00332901d,+1680.54+0.0073696d,+1160.27+0.00533494d,+1280.31+0.00553079d,+1000.2+0.00459864d,+1040.22+0.0047827d,+640.072+0.00259767d,+520.054+0.0023906d,+240.012+0.00110229d,+1080.23+0.00496282d,+760.116+0.00349169d,+560.063+0.00257251d,+160.005+0.000734827d,+240.012+0.00110229d,+440.039+0.00202111d,+240.012+0.00110229d
2021-01-06 07:15:00 UTC,+720.104+0.00331961d,+720.104+0.00332142d,+1640.54+0.00756966d,+1160.25+0.00499618d,+1360.37+0.00627622d,+800.129+0.00369065d,+1000.2+0.00461386d,+480.046+0.00221396d,+520.054+0.00239852d,+360.026+0.00165971d,+1040.22+0.00479669d,+760.116+0.00350468d,+2601.36+0.012003d,+200.008+0.000921975d,+200.008+0.000921975d,+200.008+0.000921975d,+200.008+0.000921975d
2021-01-06 07:30:00 UTC,+600.072+0.00276724d,+720.104+0.00332221d,+1720.57+0.00758041d,+1280.33+0.00590815d,+1160.27+0.00535387d,+880.156+0.00406087d,+1080.22+0.00462885d,+800.129+0.00369152d,+520.054+0.00239909d,+640.073+0.00260654d,+1000.2+0.00461436d,+640.082+0.00295255d,+3923.1+0.0181202d,+240.012+0.00110694d,+360.026+0.00166053d,+320.021+0.00147599d,+320.021+0.00147599d
2021-01-06 07:45:00 UTC,+760.116+0.00351682d,+880.142+0.003717d,+1640.54+0.00758886d,+1080.24+0.00499585d,+1600.49+0.00704266d,+920.156+0.00390137d,+920.171+0.00425531d,+720.093+0.00298041d,+520.054+0.0024046d,+440.039+0.0020365d,+4964.98+0.0230199d,+560.063+0.0025921d,+4524.13+0.0209722d,+160.005+0.000740421d,+280.016+0.00129583d,+360.026+0.00166615d,+2200.98+0.0101934d
