# file...... Meter_632_B_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_632_B:measured_power.real,xfmr_meter_632_B_1:measured_power.real,xfmr_meter_632_B_2:measured_power.real,xfmr_meter_632_B_3:measured_power.real,xfmr_meter_632_B_4:measured_power.real,xfmr_meter_632_B_5:measured_power.real,house_meter_632_B_1:measured_power.real,house_meter_632_B_2:measured_power.real,house_meter_632_B_3:measured_power.real,house_meter_632_B_4:measured_power.real,house_meter_632_B_5:measured_power.real,house_meter_632_B_6:measured_power.real,house_meter_632_B_7:measured_power.real,house_meter_632_B_8:measured_power.real,house_meter_632_B_9:measured_power.real,house_meter_632_B_10:measured_power.real,house_meter_632_B_11:measured_power.real,house_meter_632_B_12:measured_power.real,house_meter_632_B_13:measured_power.real,house_meter_632_B_14:measured_power.real,house_meter_632_B_15:measured_power.real,house_meter_632_B_16:measured_power.real,house_meter_632_B_17:measured_power.real,house_meter_632_B_18:measured_power.real,house_meter_632_B_19:measured_power.real
2021-01-06 05:30:00 UTC,2.4902e+04,5.8858e+03,3.3217e+03,4.4832e+03,7.8090e+03,3.4017e+03,9.2017e+02,1.0002e+03,2.8002e+02,1.2003e+03,1.8006e+03,3.6003e+02,1.2000e+02,2.0001e+02,1.2000e+02,4.8005e+02,1.2000e+02,2.4001e+02,5.6006e+02,5.6006e+02,6.0007e+02,6.4008e+02,1.6001e+02,2.8002e+02,2.4001e+02
2021-01-06 05:45:00 UTC,2.8951e+04,5.4453e+03,6.4496e+03,5.2845e+03,8.0092e+03,3.7621e+03,8.8015e+02,6.0007e+02,4.0003e+02,5.6006e+02,2.2010e+03,2.4001e+02,2.8002e+02,2.8002e+02,2.0001e+02,5.2005e+02,2.0001e+02,2.4001e+02,3.6827e+03,5.6006e+02,5.6006e+02,4.8005e+02,1.2803e+03,2.0001e+02,1.6001e+02
2021-01-06 06:00:00 UTC,2.9039e+04,4.0024e+03,8.3404e+03,4.4831e+03,8.5707e+03,3.6420e+03,9.6018e+02,5.6006e+02,6.4008e+02,6.0007e+02,4.0003e+02,3.6003e+02,2.8002e+02,2.0001e+02,8.0001e+01,2.8002e+02,2.0001e+02,3.6003e+02,5.8469e+03,5.2005e+02,5.2005e+02,5.2005e+02,7.2010e+02,2.0001e+02,2.0001e+02
2021-01-06 06:15:00 UTC,2.7547e+04,5.0040e+03,5.8073e+03,4.2831e+03,8.0893e+03,4.3636e+03,1.0002e+03,7.6012e+02,1.2403e+03,9.2017e+02,1.2000e+02,3.6003e+02,3.2002e+02,2.8002e+02,2.8002e+02,2.8002e+02,1.6001e+02,2.4001e+02,3.0819e+03,6.4008e+02,6.4008e+02,4.8005e+02,5.2005e+02,1.2000e+02,1.2000e+02
2021-01-06 06:30:00 UTC,2.4421e+04,4.4430e+03,3.1616e+03,4.6433e+03,8.7711e+03,3.4023e+03,1.0402e+03,6.0007e+02,9.2017e+02,6.8009e+02,4.0003e+02,3.2002e+02,1.6001e+02,3.2002e+02,1.6001e+02,2.4001e+02,1.2000e+02,2.0001e+02,7.6012e+02,5.2005e+02,5.2005e+02,6.4008e+02,3.2002e+02,8.0013e+02,2.4001e+02
2021-01-06 06:45:00 UTC,2.6744e+04,3.4419e+03,5.6853e+03,6.1259e+03,7.6885e+03,3.8026e+03,3.2002e+02,2.8002e+02,1.0002e+03,6.4008e+02,4.4004e+02,2.4001e+02,2.4001e+02,2.8002e+02,1.6001e+02,1.5605e+03,1.6001e+02,1.4404e+03,7.2010e+02,5.6006e+02,5.6006e+02,5.2005e+02,6.8009e+02,1.6001e+02,1.6005e+03
2021-01-06 07:00:00 UTC,2.6105e+04,5.7681e+03,3.8823e+03,4.6032e+03,8.1295e+03,3.7222e+03,2.8002e+02,2.8002e+02,3.4424e+03,5.2005e+02,2.8002e+02,4.0003e+02,3.2002e+02,2.4001e+02,1.6001e+02,2.0001e+02,2.0001e+02,1.0002e+03,7.6012e+02,5.2005e+02,5.2005e+02,5.2005e+02,3.6003e+02,2.8002e+02,6.8009e+02
2021-01-06 07:15:00 UTC,3.3126e+04,9.1815e+03,6.0059e+03,4.6836e+03,7.6887e+03,5.5663e+03,7.6012e+02,5.2005e+02,5.6865e+03,9.2017e+02,2.8002e+02,4.4004e+02,2.0001e+02,3.6003e+02,2.0001e+02,2.8002e+02,6.8009e+02,2.3207e+03,7.6012e+02,6.4008e+02,6.0007e+02,5.2005e+02,1.6001e+02,1.2000e+02,4.8005e+02
2021-01-06 07:30:00 UTC,3.7901e+04,5.4452e+03,1.0788e+04,6.0454e+03,8.1697e+03,7.4521e+03,5.6006e+02,1.0002e+03,2.0408e+03,6.8009e+02,4.4004e+02,2.0001e+02,2.4001e+02,2.8002e+02,2.0001e+02,5.2005e+02,4.8005e+02,7.2065e+03,6.8009e+02,5.2005e+02,5.6006e+02,6.0007e+02,2.0001e+02,6.4008e+02,1.0802e+03
2021-01-06 07:45:00 UTC,5.3510e+04,9.6192e+03,1.0822e+04,1.1261e+04,8.2900e+03,1.3517e+04,5.2005e+02,5.6006e+02,2.9217e+03,4.1635e+03,4.0003e+02,4.0003e+02,4.0003e+02,2.4001e+02,1.6001e+02,8.0013e+02,2.4812e+03,4.6835e+03,7.6012e+02,8.8016e+02,5.2005e+02,5.2005e+02,2.4001e+02,8.0013e+02,2.0408e+03
2021-01-06 08:00:00 UTC,5.7365e+04,5.7259e+03,1.2747e+04,1.1220e+04,8.2099e+03,1.9461e+04,8.4014e+02,4.8005e+02,2.2410e+03,1.0002e+03,1.6001e+02,4.0003e+02,2.4001e+02,3.6003e+02,1.6001e+02,2.2811e+03,1.0002e+03,2.2410e+03,2.6014e+03,3.4424e+03,5.2005e+02,4.8005e+02,7.2011e+02,8.0013e+02,3.4024e+03
2021-01-06 08:15:00 UTC,7.2351e+04,1.2673e+04,1.4675e+04,1.6164e+04,8.4506e+03,2.0388e+04,1.0802e+03,4.0032e+03,5.1654e+03,8.4014e+02,3.6003e+02,4.4004e+02,4.4004e+02,3.2002e+02,2.4001e+02,2.4812e+03,8.8016e+02,2.7615e+03,1.5205e+03,4.0834e+03,6.4008e+02,2.0408e+03,7.6012e+02,5.8035e+03,4.2837e+03
2021-01-06 08:30:00 UTC,5.9042e+04,1.0025e+04,1.2425e+04,1.2865e+04,9.2924e+03,1.4434e+04,9.2017e+02,8.4014e+02,6.0875e+03,8.4014e+02,4.0003e+02,2.8002e+02,3.6003e+02,2.8002e+02,5.6006e+02,2.0408e+03,8.4014e+02,1.8807e+03,8.4014e+02,2.6414e+03,5.2005e+02,3.0819e+03,8.8016e+02,4.0018e+03,2.3611e+03
2021-01-06 08:45:00 UTC,5.4794e+04,1.2715e+04,1.6644e+04,1.1098e+04,9.6534e+03,4.6836e+03,4.3238e+03,5.6006e+02,5.4460e+03,7.6012e+02,3.6003e+02,7.6012e+02,2.4001e+02,2.4001e+02,2.4012e+03,4.1635e+03,9.2017e+02,1.2803e+03,1.0802e+03,3.9632e+03,6.0007e+02,2.2010e+03,1.0802e+03,2.7207e+03,8.4014e+02
2021-01-06 09:00:00 UTC,5.2018e+04,6.0861e+03,1.7407e+04,1.3146e+04,1.0014e+04,5.3644e+03,6.0007e+02,6.8009e+02,2.0008e+03,9.6019e+02,2.8002e+02,8.4014e+02,4.0003e+02,3.2002e+02,9.6019e+02,1.1603e+03,2.1609e+03,3.9632e+03,3.4424e+03,2.4812e+03,4.8005e+02,2.7215e+03,1.2803e+03,4.2821e+03,2.0809e+03
2021-01-06 09:15:00 UTC,5.8320e+04,1.3594e+04,9.9361e+03,1.5960e+04,1.2062e+04,6.7682e+03,2.9217e+03,9.2017e+02,4.4841e+03,3.5225e+03,3.2002e+02,8.4014e+02,3.2002e+02,2.4001e+02,4.8005e+02,4.8005e+02,3.2002e+02,1.5205e+03,1.6405e+03,2.2410e+03,6.0007e+02,2.6414e+03,1.6405e+03,5.8434e+03,1.9207e+03
2021-01-06 09:30:00 UTC,5.9277e+04,1.2269e+04,1.3146e+04,1.3547e+04,1.0777e+04,9.5378e+03,5.0051e+03,9.2017e+02,9.6019e+02,3.3222e+03,5.6006e+02,8.0013e+02,3.2002e+02,3.6003e+02,2.0809e+03,8.8016e+02,2.2410e+03,1.1603e+03,2.4012e+03,2.1609e+03,6.0007e+02,1.6005e+03,1.3604e+03,3.8417e+03,1.9207e+03
2021-01-06 09:45:00 UTC,6.7316e+04,1.3315e+04,1.7811e+04,1.4390e+04,1.3226e+04,8.5740e+03,5.1654e+03,8.8016e+02,4.0433e+03,7.6012e+02,1.6001e+02,8.8016e+02,5.2005e+02,8.8016e+02,8.0013e+02,1.7206e+03,5.4435e+03,3.2002e+02,2.8416e+03,4.0032e+03,4.8005e+02,2.1609e+03,1.0802e+03,2.7215e+03,1.8007e+03
