# file...... 1Meter_633_B_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_633_B_20:measured_power.real,house_meter_633_B_21:measured_power.real,house_meter_633_B_22:measured_power.real,house_meter_633_B_23:measured_power.real,house_meter_633_B_24:measured_power.real,house_meter_633_B_25:measured_power.real,house_meter_633_B_26:measured_power.real,house_meter_633_B_27:measured_power.real,house_meter_633_B_28:measured_power.real,house_meter_633_B_29:measured_power.real,house_meter_633_B_30:measured_power.real,house_meter_633_B_31:measured_power.real,house_meter_633_B_32:measured_power.real,house_meter_633_B_33:measured_power.real,house_meter_633_B_34:measured_power.real,house_meter_633_B_35:measured_power.real,house_meter_633_B_36:measured_power.real,house_meter_633_B_37:measured_power.real,house_meter_633_B_38:measured_power.real,house_meter_633_B_39:measured_power.real,house_meter_633_B_40:measured_power.real
2021-01-06 12:15:00 UTC,2.0001e+02,2.6014e+03,1.9207e+03,1.2003e+03,2.4012e+03,1.0802e+03,2.4012e+03,3.6827e+03,1.0802e+03,2.2810e+03,1.8007e+03,1.8407e+03,2.1209e+03,2.8002e+02,1.2003e+03,7.6012e+02,8.4014e+02,5.6006e+02,6.4008e+02,6.4008e+02,1.0402e+03
2021-01-06 12:30:00 UTC,4.0003e+02,2.4812e+03,2.0809e+03,1.2403e+03,2.0809e+03,1.0002e+03,1.8007e+03,2.6414e+03,8.8016e+02,2.5613e+03,2.2810e+03,1.9608e+03,2.2410e+03,3.6003e+02,9.2017e+02,1.2003e+03,1.0802e+03,7.2010e+02,1.0402e+03,6.4008e+02,1.2403e+03
2021-01-06 12:45:00 UTC,8.0001e+01,2.5613e+03,1.8807e+03,1.0802e+03,2.2410e+03,8.8015e+02,2.3611e+03,3.5625e+03,1.0802e+03,2.7215e+03,2.0809e+03,2.2010e+03,2.3611e+03,3.6003e+02,7.6012e+02,4.4004e+02,7.6012e+02,7.2010e+02,1.0002e+03,8.0013e+02,1.0402e+03
2021-01-06 13:00:00 UTC,2.8002e+02,2.4812e+03,1.8006e+03,1.0802e+03,2.8016e+03,1.2403e+03,2.0408e+03,4.0433e+03,9.6018e+02,2.7215e+03,2.0408e+03,1.7206e+03,2.7615e+03,2.8002e+02,8.8015e+02,5.6006e+02,1.2403e+03,8.8015e+02,8.4014e+02,1.0002e+03,1.1203e+03
2021-01-06 13:15:00 UTC,3.6003e+02,2.3611e+03,1.7606e+03,1.1603e+03,2.3211e+03,2.0008e+03,1.2403e+03,2.8416e+03,9.6018e+02,2.9618e+03,1.9608e+03,2.2410e+03,2.2410e+03,4.0003e+02,3.8029e+03,8.0013e+02,1.0402e+03,2.8002e+02,6.8009e+02,1.0402e+03,1.2003e+03
2021-01-06 13:30:00 UTC,3.6003e+02,2.3611e+03,1.9608e+03,1.0402e+03,2.5613e+03,1.8407e+03,1.3604e+03,2.7615e+03,1.0802e+03,3.2421e+03,1.9207e+03,2.3211e+03,2.2810e+03,2.8002e+02,1.1203e+03,2.4001e+02,4.0003e+02,4.4004e+02,6.0007e+02,7.2010e+02,1.0802e+03
2021-01-06 13:45:00 UTC,2.0001e+02,2.5213e+03,1.8407e+03,1.1203e+03,2.2810e+03,2.2010e+03,1.3203e+03,1.8407e+03,9.6018e+02,2.4812e+03,2.5213e+03,2.1209e+03,2.5213e+03,2.8002e+02,8.0013e+02,3.2002e+02,2.0001e+02,4.0003e+02,6.4008e+02,5.6006e+02,2.3611e+03
2021-01-06 14:00:00 UTC,1.2000e+02,2.4412e+03,2.5613e+03,1.2003e+03,2.4412e+03,2.3211e+03,1.2003e+03,2.1209e+03,9.6018e+02,2.4012e+03,3.8029e+03,1.4804e+03,2.6014e+03,4.0003e+02,7.6012e+02,3.6003e+02,4.0003e+02,3.6003e+02,7.2010e+02,6.4008e+02,1.8407e+03
2021-01-06 14:15:00 UTC,8.0001e+01,2.4812e+03,2.2410e+03,1.1203e+03,2.7215e+03,2.4812e+03,1.3203e+03,2.6014e+03,1.0802e+03,2.9217e+03,3.0018e+03,1.2803e+03,2.6414e+03,3.2002e+02,4.4004e+02,2.4001e+02,3.6003e+02,1.0802e+03,6.0007e+02,6.8009e+02,1.5205e+03
2021-01-06 14:30:00 UTC,6.4008e+02,2.4012e+03,2.2410e+03,1.0402e+03,2.7215e+03,3.5625e+03,1.2803e+03,2.6414e+03,9.6018e+02,2.5213e+03,2.2810e+03,1.4004e+03,3.0819e+03,7.6012e+02,3.6003e+02,3.6003e+02,2.4001e+02,1.8807e+03,3.0819e+03,2.0408e+03,1.7606e+03
2021-01-06 14:45:00 UTC,6.0007e+02,2.4812e+03,2.1609e+03,1.2003e+03,3.2021e+03,5.4042e+03,1.2403e+03,2.4412e+03,9.2017e+02,2.1209e+03,2.0408e+03,1.2403e+03,2.8016e+03,4.0833e+03,3.6003e+02,3.6003e+02,3.6003e+02,1.8807e+03,2.6014e+03,2.6814e+03,1.6405e+03
2021-01-06 15:00:00 UTC,5.6006e+02,2.8817e+03,2.0809e+03,1.0802e+03,2.7215e+03,7.7661e+03,1.3204e+03,2.2810e+03,1.1203e+03,2.0008e+03,2.2810e+03,1.1203e+03,2.6014e+03,2.4812e+03,6.0007e+02,2.4001e+02,2.8002e+02,3.2421e+03,1.7606e+03,1.2403e+03,1.9608e+03
