# file...... Meter_633_A_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_A:measured_power,xfmr_meter_633_A_1:measured_power,xfmr_meter_633_A_2:measured_power,xfmr_meter_633_A_3:measured_power,xfmr_meter_633_A_4:measured_power,xfmr_meter_633_A_5:measured_power,house_meter_633_A_1:measured_power,house_meter_633_A_2:measured_power,house_meter_633_A_3:measured_power,house_meter_633_A_4:measured_power,house_meter_633_A_5:measured_power,house_meter_633_A_6:measured_power,house_meter_633_A_7:measured_power,house_meter_633_A_8:measured_power,house_meter_633_A_9:measured_power,house_meter_633_A_10:measured_power,house_meter_633_A_11:measured_power,house_meter_633_A_12:measured_power,house_meter_633_A_13:measured_power,house_meter_633_A_14:measured_power,house_meter_633_A_15:measured_power,house_meter_633_A_16:measured_power,house_meter_633_A_17:measured_power,house_meter_633_A_18:measured_power,house_meter_633_A_19:measured_power,house_meter_633_A_20:measured_power,house_meter_633_A_21:measured_power,house_meter_633_A_22:measured_power,house_meter_633_A_23:measured_power
2021-01-06 05:00:00 UTC,+61399.7+219.167j,+13831.4+37.0772j,+12911.1+33.8083j,+6686.98+8.5265j,+1960.56+0.718642j,+26009.2+138.456j,+3682.76+0.0171764d,+960.187+0.00447336d,+960.187+0.00447336d,+3642.7+0.0169893d,+600.073+0.00279524d,+1160.27+0.00540597d,+1720.6+0.00801849d,+1080.24+0.0050329d,+5245.59+0.0244769d,+1680.57+0.0078305d,+640.083+0.00298116d,+2401.17+0.0111913d,+560.064+0.00260839d,+360.026+0.00167661d,+1400.4+0.0065243d,+600.073+0.00279477d,+920.172+0.00428126d,+600.073+0.00279158d,+520.055+0.00241925d,+480.047+0.0022331d,+600.073+0.00279158d,+1880.72+0.00875378d,+1160.27+0.0053989d
2021-01-06 05:15:00 UTC,+61187.1+207.956j,+12384.5+29.4422j,+13272.1+35.384j,+8129.96+12.4387j,+2160.67+0.867213j,+25239.4+129.269j,+3642.69+0.0169484d,+1000.2+0.00464869d,+880.157+0.00409054d,+2401.17+0.0111663d,+680.094+0.00316049d,+960.187+0.00446263d,+1720.6+0.00799924d,+1080.24+0.00502082d,+5085.24+0.023678d,+1680.57+0.00781429d,+720.105+0.00334703d,+2721.5+0.0126597d,+560.063+0.00260299d,+480.047+0.00223103d,+1600.52+0.00744182d,+400.032+0.0018591d,+840.143+0.00390148d,+480.047+0.00222893d,+800.129+0.00371561d,+840.143+0.00390148d,+800.129+0.00371561d,+1920.75+0.00892352d,+1560.49+0.00724878d
2021-01-06 05:30:00 UTC,+59158.2+177.11j,+12544.9+30.0899j,+12348.6+30.9603j,+10175.9+19.6248j,+2480.89+1.14371j,+21607.6+94.817j,+3602.63+0.0167691d,+960.187+0.00446458d,+1000.2+0.00465072d,+2321.09+0.0107983d,+800.13+0.00372012d,+1080.24+0.00502302d,+1760.63+0.00818904d,+1000.2+0.00465072d,+5045.16+0.0234966d,+1760.63+0.00818876d,+760.117+0.0035339d,+2401.17+0.0111708d,+800.13+0.00371999d,+240.012+0.00111562d,+720.105+0.00334783d,+600.073+0.00278965d,+1600.52+0.00744063d,+880.157+0.00409056d,+600.073+0.00278854d,+2281.05+0.0106073d,+640.083+0.00297452d,+2120.91+0.00986196d,+1400.4+0.00650976d
2021-01-06 05:45:00 UTC,+63944.2+209.727j,+13349.1+34.4409j,+14596.5+41.8614j,+10416.9+20.632j,+2000.59+0.747091j,+23580.8+111.479j,+4283.72+0.0199417d,+1080.24+0.00502223d,+1000.2+0.00464998d,+2281.05+0.0106102d,+600.073+0.00278931d,+960.187+0.00446388d,+1800.66+0.00837404d,+1320.35+0.00613917d,+5125.33+0.0238732d,+1720.6+0.00800331d,+800.13+0.00372039d,+2441.21+0.0113585d,+840.143+0.0039065d,+640.083+0.00297602d,+800.13+0.00372039d,+2200.98+0.0102398d,+1760.63+0.00818336d,+2481.25+0.0115362d,+680.094+0.00315968d,+680.094+0.00315968d,+640.083+0.00297374d,+2120.91+0.00985939d,+1360.37+0.00632197d
2021-01-06 06:00:00 UTC,+61555+216.384j,+13389.5+34.714j,+12509.1+31.6643j,+6687.31+8.64452j,+2681.14+1.37473j,+26287.5+139.41j,+4363.86+0.0203043d,+1120.25+0.00520551d,+960.187+0.00446144d,+2361.13+0.010977d,+640.083+0.00297371d,+1040.22+0.00483346d,+1800.66+0.00836946d,+1080.24+0.00501948d,+5125.32+0.0238508d,+1680.57+0.00780967d,+680.094+0.00315914d,+2361.13+0.0109753d,+840.143+0.00390284d,+480.047+0.00222971d,+680.094+0.00315914d,+640.083+0.00297323d,+640.083+0.00297007d,+560.063+0.00259869d,+480.047+0.00222734d,+560.063+0.00259869d,+520.055+0.00241301d,+2120.91+0.00984721d,+1360.37+0.00631416d
2021-01-06 06:15:00 UTC,+65469.8+219.15j,+15115.1+43.2699j,+15240+45.7108j,+6326.68+7.7933j,+4363.2+3.71488j,+24424.4+118.065j,+3682.75+0.0171378d,+1960.78+0.00911819d,+920.171+0.00427726d,+2601.37+0.0121003d,+640.083+0.00297498d,+2401.17+0.0111681d,+1840.69+0.00855931d,+1040.22+0.00483552d,+5205.5+0.0242395d,+1880.72+0.0087458d,+760.117+0.00353313d,+2521.29+0.0117277d,+840.143+0.00390523d,+600.073+0.00278904d,+2801.59+0.013033d,+600.073+0.00278904d,+560.063+0.0025988d,+720.105+0.00334164d,+560.063+0.0025988d,+480.047+0.00222744d,+280.016+0.00129918d,+2160.94+0.0100337d,+1120.25+0.00519937d
2021-01-06 06:30:00 UTC,+61048.6+191.962j,+12826+31.4145j,+12790.1+32.9256j,+5765.53+6.46015j,+5605.11+6.05958j,+24061.5+114.583j,+3682.74+0.0171105d,+960.186+0.00445623d,+1000.2+0.00464202d,+2361.13+0.0109642d,+680.093+0.00315596d,+1160.27+0.00538526d,+1840.69+0.00854566d,+1120.25+0.00519944d,+5125.32+0.0238266d,+1680.57+0.00780176d,+720.105+0.00334167d,+2441.21+0.0113364d,+440.039+0.00204179d,+520.055+0.00241313d,+1000.2+0.00464199d,+840.143+0.00389889d,+560.063+0.00259549d,+400.032+0.00185375d,+360.026+0.00166833d,+520.055+0.00241004d,+600.073+0.00278095d,+1960.78+0.00909193d,+1040.22+0.0048216d
2021-01-06 06:45:00 UTC,+65440.1+225.784j,+12504.7+29.7926j,+12429+31.2852j,+8333.39+14.2088j,+5083.74+4.78894j,+27088.9+145.101j,+3642.68+0.0168846d,+1040.22+0.00481658d,+920.171+0.00426051d,+2241.01+0.0103817d,+680.093+0.00314861d,+1120.25+0.00518733d,+1720.6+0.00796916d,+1120.25+0.00518733d,+5125.31+0.0237709d,+1720.6+0.00796905d,+680.093+0.00314857d,+2441.2+0.0113099d,+320.021+0.00148136d,+800.129+0.00370447d,+680.093+0.00314857d,+640.083+0.00296329d,+720.104+0.00333138d,+440.039+0.0020355d,+640.083+0.00296108d,+440.039+0.0020355d,+440.039+0.0020355d,+3762.86+0.0174293d,+1280.33+0.00592445d
2021-01-06 07:00:00 UTC,+68252.7+243.95j,+12424.2+29.3753j,+15600.7+47.3061j,+7047.57+9.35776j,+5524.57+5.71779j,+27655.1+151.531j,+3602.62+0.0166988d,+960.186+0.0044459d,+1040.22+0.00481662d,+2200.98+0.0101962d,+800.129+0.00370455d,+1000.2+0.00463125d,+1720.6+0.00796923d,+1080.24+0.005002d,+5085.23+0.0235988d,+1720.6+0.00797385d,+800.129+0.0037067d,+2401.16+0.0111309d,+2361.13+0.0109451d,+2281.05+0.0105736d,+440.039+0.00203824d,+480.046+0.00222359d,+800.129+0.00370093d,+680.093+0.00314556d,+560.063+0.00259027d,+480.046+0.00222013d,+600.073+0.00277536d,+1880.71+0.00870287d,+1160.27+0.00536752d
2021-01-06 07:15:00 UTC,+75695.6+252.662j,+16443.3+51.6641j,+15721.1+47.8375j,+12102.7+27.6784j,+7087.56+9.40255j,+24340.4+115.385j,+4484.05+0.0207274d,+1080.23+0.00498653d,+1240.31+0.00572582d,+2241.01+0.0103497d,+600.072+0.00276949d,+1120.25+0.00517134d,+1840.68+0.00849946d,+3802.91+0.0175741d,+5125.29+0.0236946d,+2881.67+0.0133101d,+840.142+0.00387734d,+2441.2+0.0112736d,+1320.35+0.00609473d,+1120.25+0.00517066d,+1640.54+0.0075737d,+320.021+0.00147662d,+1040.22+0.00479794d,+1400.39+0.00646016d,+760.116+0.00350559d,+840.142+0.00387479d,+640.082+0.00295186d,+2521.28+0.0116362d,+1840.68+0.00849276d
