# file...... Meter_652A_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power.real,xfmr_meter_652_A_1:measured_power.real,xfmr_meter_652_A_2:measured_power.real,xfmr_meter_652_A_3:measured_power.real,xfmr_meter_652_A_4:measured_power.real,xfmr_meter_652_A_5:measured_power.real,house_meter_652_A_1:measured_power.real,house_meter_652_A_2:measured_power.real,house_meter_652_A_3:measured_power.real,house_meter_652_A_4:measured_power.real,house_meter_652_A_5:measured_power.real,house_meter_652_A_6:measured_power.real,house_meter_652_A_7:measured_power.real,house_meter_652_A_8:measured_power.real,house_meter_652_A_9:measured_power.real,house_meter_652_A_10:measured_power.real,house_meter_652_A_11:measured_power.real,house_meter_652_A_12:measured_power.real,house_meter_652_A_13:measured_power.real,house_meter_652_A_14:measured_power.real,house_meter_652_A_15:measured_power.real,house_meter_652_A_16:measured_power.real,house_meter_652_A_17:measured_power.real,house_meter_652_A_18:measured_power.real,house_meter_652_A_19:measured_power.real
2021-01-06 10:45:00 UTC,1.8427e+05,3.8831e+04,3.4114e+04,2.6390e+04,5.2876e+04,3.2052e+04,8.4015e+02,3.6027e+03,8.7358e+03,4.0434e+03,4.5242e+03,4.9250e+03,6.9298e+03,5.0453e+03,5.8070e+03,8.0534e+03,8.4949e+03,5.5664e+03,2.0008e+03,1.0402e+03,1.9208e+03,1.0802e+03,4.3238e+03,3.1621e+03,2.3611e+03
2021-01-06 11:00:00 UTC,1.8999e+05,5.0135e+04,2.8006e+04,2.6514e+04,5.1633e+04,3.3695e+04,9.2018e+02,1.0336e+04,7.9331e+03,6.4887e+03,5.3259e+03,5.0453e+03,6.9300e+03,6.8497e+03,5.7669e+03,4.9651e+03,5.7268e+03,5.4461e+03,1.8807e+03,1.0002e+03,2.0409e+03,1.0802e+03,3.6828e+03,1.9608e+03,5.1655e+03
2021-01-06 11:15:00 UTC,1.8690e+05,5.0091e+04,3.8686e+04,2.8324e+04,3.0099e+04,3.9700e+04,1.4003e+03,8.9712e+03,7.6924e+03,5.5665e+03,7.4115e+03,5.4863e+03,6.9701e+03,6.2882e+03,6.7695e+03,8.8563e+03,8.0535e+03,7.2509e+03,1.9208e+03,2.8016e+03,1.8807e+03,9.6019e+02,3.8431e+03,2.0008e+03,6.8899e+03
2021-01-06 11:30:00 UTC,1.8067e+05,5.5317e+04,4.4068e+04,2.3886e+04,3.7812e+04,1.9584e+04,6.2846e+03,7.2910e+03,7.3713e+03,5.6466e+03,5.1254e+03,8.2943e+03,7.6119e+03,7.3311e+03,8.8964e+03,9.7798e+03,5.8471e+03,8.2942e+03,1.9208e+03,4.2037e+03,3.4024e+03,1.4805e+03,4.1235e+03,1.7206e+03,3.8831e+03
2021-01-06 11:45:00 UTC,1.9015e+05,5.4060e+04,4.8273e+04,2.3081e+04,3.7729e+04,2.7005e+04,4.5230e+03,7.7709e+03,1.0335e+04,5.5664e+03,3.4024e+03,7.2509e+03,7.9732e+03,6.8898e+03,8.6956e+03,7.1305e+03,5.9273e+03,9.3380e+03,1.9608e+03,7.4916e+03,4.3239e+03,3.1220e+03,2.4813e+03,3.2021e+03,5.8069e+03
2021-01-06 12:00:00 UTC,1.9061e+05,6.1127e+04,4.5202e+04,2.6197e+04,3.5516e+04,2.2566e+04,4.7230e+03,1.0893e+04,1.1175e+04,7.6120e+03,7.5318e+03,5.7268e+03,7.6120e+03,5.4061e+03,8.3745e+03,7.6120e+03,5.2457e+03,9.2578e+03,2.1610e+03,8.4147e+03,2.1209e+03,1.7606e+03,2.6014e+03,9.1373e+03,3.8030e+03
2021-01-06 12:15:00 UTC,2.3377e+05,5.8607e+04,4.8721e+04,3.8790e+04,5.3125e+04,3.4522e+04,6.3242e+03,1.0693e+04,1.0974e+04,6.8498e+03,3.1220e+03,5.8872e+03,7.5718e+03,6.7696e+03,7.6121e+03,7.5719e+03,6.6492e+03,8.8965e+03,1.9208e+03,7.3312e+03,2.1209e+03,6.3283e+03,6.6893e+03,8.2542e+03,5.1255e+03
2021-01-06 12:30:00 UTC,2.2939e+05,5.0168e+04,4.8724e+04,4.4670e+04,4.0882e+04,4.4942e+04,3.6417e+03,1.0693e+04,1.1375e+04,3.9232e+03,3.9232e+03,4.5643e+03,7.4114e+03,4.3239e+03,6.3283e+03,5.3660e+03,5.5664e+03,1.1427e+04,1.8807e+03,6.7294e+03,3.7229e+03,7.4114e+03,7.4917e+03,1.0182e+04,6.0075e+03
2021-01-06 12:45:00 UTC,2.2836e+05,5.2240e+04,4.0622e+04,4.7061e+04,5.1412e+04,3.7023e+04,2.5207e+03,1.0573e+04,1.0052e+04,5.3660e+03,6.6894e+03,3.4425e+03,8.0135e+03,5.2458e+03,3.8030e+03,6.0477e+03,3.8832e+03,1.1106e+04,2.4408e+03,5.3660e+03,2.4012e+03,5.3660e+03,7.2510e+03,6.7696e+03,7.3714e+03
2021-01-06 13:00:00 UTC,2.1190e+05,4.4694e+04,4.1061e+04,4.5798e+04,4.8491e+04,3.1856e+04,1.2403e+03,8.8484e+03,6.9279e+03,6.6091e+03,6.0877e+03,3.1220e+03,7.1304e+03,4.4842e+03,5.6065e+03,3.4825e+03,4.4842e+03,1.0543e+04,7.5273e+03,1.0002e+03,4.1636e+03,4.0434e+03,7.3312e+03,8.4147e+03,7.2910e+03
